rname,usgs,ec,nws,ratio,depth,width,max_dist,idir,isign,uv,row_py,col_py
clowhom,,08GB013,,32.3873,10.0,2.0,0.2,0,-1,u,1169,452
squamish,,08GA022,,2.3449,5.0,2.0,0.2,0,1,u,1169,483
fraser,,08MF005,,1.0848,10.0,5.0,1.0,0,-1,u,1082,640
tsolum,,08HB011,,2.986,5.0,2.0,0.03,0,-1,u,1160,249
oyster,,08HD011,,2.986,5.0,2.0,0.02,0,1,u,1179,226
englishman,,08HB002,,4.93,5.0,2.0,0.04,1,1,v,1110,326
cowichan,,08HA011,,2.0531,5.0,2.0,0.04,0,1,u,1004,406
nanaimo,,08HB034,,2.0531,5.0,2.0,0.05,0,1,u,1068,381
nooksack,12213100.0,,NKSW1,0.954,5.0,2.0,0.1,0,-1,u,1018,576
samish,12201500.0,,SMRW1,1.8864,5.0,2.0,0.1,0,-1,u,947,604
sanjuan,,08HA010,,6.237,5.0,2.0,0.06,0,-1,u,960,323
sarita,,08HB014,,1.0,5.0,2.0,0.04,0,-1,u,1030,252
gold,,08HC001,,1.0,5.0,2.0,0.08,0,-1,u,1160,162
hoko,12043300.0,,,2.7032,5.0,2.0,0.02,0,1,u,885,312
elwha,12045500.0,,ELWW1,1.09,5.0,2.0,0.03,1,1,v,842,426
dungeness,12048000.0,,,1.1686,5.0,2.0,0.02,0,-1,u,833,495
dosewallips,12054000.0,,,1.4294,5.0,2.0,0.1,0,1,u,766,520
duckabush,12054000.0,,,1.1404,5.0,2.0,0.1,0,1,u,757,513
hamma,12061500.0,,,0.4459,5.0,2.0,0.1,0,1,u,734,501
skokomish,12061500.0,,SRPW1,1.081,5.0,2.0,0.1,0,-1,u,678,492
deschutes,12080010.0,,,1.0384,5.0,2.0,0.1,0,-1,u,611,528
nisqually,12089500.0,,MKNW1,1.223,5.0,2.0,0.1,0,-1,u,604,576
puyallup,12101500.0,,PUYW1,1.0444,5.0,2.0,0.2,0,-1,u,654,619
green,12113000.0,,AUBW1,1.1936,5.0,2.0,0.2,0,-1,u,718,623
cedar,12119000.0,,RNTW1,2.5766,5.0,2.0,0.2,0,-1,u,753,618
snohomish,12150800.0,,MROW1,1.0894,5.0,2.0,0.3,0,-1,u,815,640
stillaguamish,12167000.0,,ARGW1,2.4598,5.0,2.0,0.3,0,-1,u,877,624
skagit,12200500.0,,MVEW1,1.0096,5.0,2.0,0.4,0,-1,u,939,623
calawah,12043000.0,,,4.8605,5.0,2.0,0.15,0,-1,u,825,316
hoh,12041200.0,,,1.1779,5.0,2.0,0.15,0,-1,u,789,331
queets,12040500.0,,,1.0135,5.0,2.0,0.2,0,-1,u,732,329
quinault,12039500.0,,,1.6477,5.0,2.0,0.15,0,-1,u,712,384
humptulips,12039005.0,,,1.8712,5.0,2.0,0.1,0,-1,u,661,369
chehalis,12031000.0,,CRPW1,1.6383,5.0,2.0,0.45,0,-1,u,572,483
willapa,12013500.0,,WILW1,1.9846,5.0,2.0,0.4,0,-1,u,520,426
naselle,12010000.0,,NASW1,2.5365,5.0,2.0,0.3,0,-1,u,489,405
columbia,14246900.0,,,1.0062,12.0,6.0,2.0,0,-1,u,360,639
nehalem,14301000.0,,,1.2774,5.0,2.0,0.15,0,-1,u,377,402
wilson,12076800.0,,,0.0594,5.0,2.0,0.1,0,-1,u,346,408
nestucca,14303600.0,,,1.4167,5.0,2.0,0.1,0,-1,u,317,389
siletz,14305500.0,,,1.505,5.0,2.0,0.1,0,-1,u,249,378
alsea,14306500.0,,,1.4102,5.0,2.0,0.12,0,-1,u,212,390
siuslaw,14307620.0,,,1.3163,5.0,2.0,0.15,0,-1,u,179,387
umpqua,14321000.0,,,1.268,5.0,2.0,0.3,1,1,v,130,440
coquille,14325000.0,,,6.2722,5.0,2.0,0.15,0,-1,u,83,346
